movie,sentence,score
엘비스,존나 재밌게 흥미진진 하게 봤습니다. 강추,10
명탐정 코난: 할로윈의 신부,또르륵루륵르르읃루루슥,10
"어디갔어, 버나뎃",케이트블란쳇 누님때문에 봤지만 버나뎃가족들의 모습에 힐링하고 갑니다. 영상들도 너무 좋았어요,10
탑건: 매버릭,"재미 뿐만 아니라 긴장, 스릴, 감동 다 있네요 안 보면 후회했을뻔 했어요 ",10
탑건: 매버릭,10점 만점에 100점 ! 이게 영화지.,10
탑건: 매버릭,이영화는 진짜 미친듯. 정말 재밌다,10
탑건: 매버릭,지금 당장 보러가세요 무조건,10
탑건: 매버릭,2022년 현재까지 최고의 영화임,10
탑건: 매버릭,뻔한 스토리와 뻔한 액션이지만 그러면 어떠한가... 그저 최고인걸.,10
마녀(魔女) Part2. The Other One,3편을 기다리게 만드는 작품,10
헤어질 결심,"박찬욱 특유의 그로테슼한 인물 표현이 또 한 번 가슴을 뛰게 하는 그런 작품이었습니다. 연출도, 영상미도 모두 탁월!",9
탑건: 매버릭,"톰크루즈 멋지고,영화도 멋짐",10
어게인스트,전형적으로 너무 루즈한 옛날 영화.. 여자 잘 만나야 한다ㅋ,7
퍼펙트맨,재밌게 봤습니다 ~김사랑 너무이뻐요~,10
탑건: 매버릭,미 해군 입대 어떻게 하나요?,10
인디안 썸머,90년대스러운 한여름밤의 꿈같은 사랑. 변호사와 피고인의 만남. 차라리 스릴러물로 갔더라면...,7
탑건: 매버릭,말이필요없음걍 보세요,10
소설가의 영화,날이 좋을 때 실컷 다녀보자,7
파이트 클럽,와.. 먼가 머리가 띵하네요뭔가 몽둥이로 머리를 맞은 느낌..제대로 이해한게 맞을까?,10
브로커,흠..,1
토르: 러브 앤 썬더,"기대치를 낮추고, 머리를 비우고 볼거면 굳이 극장에서 영화를 볼필요가 있을까.뭐 시간때우거나 진짜 할게없으면 가능하긴하겠네",4
본 아이덴티티,"이걸 최근에서야보고 별로네 하는 후기들이 있는데 이건 2002년작이고, 이 이후에 나오는 액션영화들이 이 영화를 본 받거나 아류작일 뿐인걸 모르는 것 같아서 아쉬움. 어디서 본것같은 스토리고 액션이 그저그렇다고? 스토리는 다른 영화들이 본을 따라한거고, 액션이야 시대가 지날 수록 지금시대가 업그레이드가 된 게 당연하지. 저 당시엔 저런 카메라 무빙도 카체이싱도 거의 없었는데, 본 시리즈가 인기 끌면서 다 따라함. 이 영화가 나왔을 때 갈수록 유치해진다는 평가를 받던 007 시리즈와  비교된다는 평가를 받았었는데, 주인공 이름이(제임스본드vs제인슨본) 그걸 노리고 지었다는 말도 있었음. 확실히 20년 후에 다시보니 액션 효과음이 유치한데, 그건 시대보정하고 봐야지. 효과음만 다시 덮어씌었으면 좋겠다...",10
헤어질 결심,영화 좀 자주 만들어주세요.  감독님...   뻔하지 않은 카메라 앵글 너무 좋았다!!,10
탑건: 매버릭,최근 본 영화중 단연코 최고~보는중 울컥하는건 나만 그런건 아니겠지~~~,10
오마주,잔잔한 감동,7
토르: 러브 앤 썬더,개그 타율은 2할 정도. 재미없는 개그랑 중2병멘트 심해서 참기힘듦. 어벤저스 이후로 마블 안보다가 노웨이홈 보고 마블 접어야되나 생각들었다가 망각하고 이거 봤는데 너무 재미없어서 웃음이 나오더라. 유투브 요약으로 10분컷 하는게 건강에 이로울듯.,4
불도저에 탄 소녀,개념없이 행동하는 양아치 얘기,2
토르: 러브 앤 썬더,저는 재밌게봤어요! 내용이 가벼운 편이고 코미디 위주라 호불호가 갈릴 수도 있는데 저는 영화보는 내내 지루하지 않고 정말 재밌게봤습니다.,10
이상한 나라의 수학자,최민식님 본인 잘하는 연기분야 어울리는 분야하세요. 관객수 신경 안쓰세요? 갈수록 안찾게되네요,6
더 킬러: 죽어도 되는 아이,평점은 최대1000자까지 등록 가능합니다 평점은최대1000자까지 등록가능못함,10
토르: 러브 앤 썬더,"OST가 진짜 대박임 ,, 라그나로크 보단 아쉽지만 나름대로 너무 재밌게 봐서 세상 모든 사람들이 봤으면 좋겠음 ",10
애프터 양,아름답고 슬픈 양의 기억들,8
탑건: 매버릭,4dx로 보니까 더 재밌었어요ㅠㅠ,10
버즈 라이트이어,삭스가 귀엽다 먀오먀오먀오먀오먀오,7
탑건: 매버릭,영화관에서 본 영화중에 제일 짜릿하고 감동적이었다!,10
탑건: 매버릭,인생영화 그냥 최고임.일반인이봐도 공군입대하고싶게 만드는 영화4DX로 보면 전투기타고잇는거같음ㅋㅋ,10
헤어질 결심,2차 관람 예정입니다.,10
탑건: 매버릭,뛰어난 1편을 감히 넘어서는 2편.,10
"나니아 연대기 - 사자, 마녀 그리고 옷장",난 어린시절에 해리포터보다 나니아연대기 더 좋아했었는데.... 다시 보고 싶다 4남매와 나니아의 백성들... ,10
헤어질 결심,탕웨이 눈빛이 자꾸만 생각난다,10
범죄도시2,여름철 우리가 극장에서 보고싶은 잘 만든 오락 영화,8
토르: 러브 앤 썬더,진짜 MCU의 위기인 것인가.... 아니면 나만 그런거인지 몰라도 슬슬 지겨워지네요;,6
토르: 러브 앤 썬더,탑건 2번 아니 3번 봄 아니 4번 봄,1
명탐정 코난: 할로윈의 신부,꿀잼  코난 사랑해 장미 사랑해 진 미워,10
탑건: 매버릭,영화관에서 보기 잘한 영화,10
콜,재미있게 봤습니다 연기도 최고~~,10
토르: 러브 앤 썬더,"라그나로크에 비해 스토리 전개, 기승전결이 아쉬웠으나, 토르의 오랜 팬으로서 미친 CG에 감탄하고, 토르의 미친 근육에 감탄했습니다.",7
